Model,Release date,Max resolution,Weight (inc. batteries),Dimensions,Price
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
Agfa ePhoto 1280,1997,1024,420,95,179
Agfa ePhoto 1680,1998,1280,420,158,179
Agfa ePhoto CL18,2000,640,0,0,179
Agfa ePhoto CL30,1999,1152,0,0,269
Agfa ePhoto CL30 Clik!,1999,1152,300,128,1299
Agfa ePhoto CL45,2001,1600,270,119,179
Agfa ePhoto CL50,1999,1280,0,0,179
Canon PowerShot 350,1997,640,320,93,149
Canon PowerShot 600,1996,832,460,160,139
Canon PowerShot A10,2001,1280,375,110,139
Canon PowerShot A100,2002,1280,225,110,139
Canon PowerShot A20,2001,1600,375,110,139
Canon PowerShot A200,2002,1600,225,110,139
Canon PowerShot A30,2002,1280,350,110,139
Canon PowerShot A300,2003,2048,225,111,139
Canon PowerShot A310,2004,2048,205,110,139
Canon PowerShot A40,2002,1600,350,110,139
Canon PowerShot A400,2004,2048,255,107,139
Canon PowerShot A410,2005,2048,195,103,139
Canon PowerShot A420,2006,2272,200,103,139
Canon PowerShot A430,2006,2272,210,103,139
Canon PowerShot A450,2007,2592,215,106,139
Canon PowerShot A460,2007,2592,215,106,139
Canon PowerShot A5,1998,1024,240,105,149
Canon PowerShot A50,1999,1280,290,103,149
Canon PowerShot A510,2005,2048,230,91,139
Canon PowerShot A520,2005,2272,230,91,149
Canon PowerShot A530,2006,2592,220,90,149
Canon PowerShot A540,2006,2816,230,90,149
Canon PowerShot A550,2007,3072,210,91,149
Canon PowerShot A560,2007,3072,205,91,149
Canon PowerShot A570 IS,2007,3072,215,90,149
Canon PowerShot A5 Zoom,1999,1024,290,103,149
Canon PowerShot A60,2003,1600,315,101,139
Canon PowerShot A610,2005,2592,285,105,139
Canon PowerShot A620,2005,3072,285,105,139
Canon PowerShot A630,2006,3264,315,109,139
Canon PowerShot A640,2006,3648,315,109,139
Canon PowerShot A650 IS,2007,4000,300,97,399
Canon PowerShot A70,2003,2048,315,101,139
Canon PowerShot A700,2006,2816,250,94,139
Canon PowerShot A710 IS,2006,3072,210,98,139
Canon PowerShot A720 IS,2007,3264,250,97,399
Canon PowerShot A75,2004,2048,315,101,139
Canon PowerShot A80,2003,2272,350,103,139
Canon PowerShot A85,2004,2272,300,101,139
Canon PowerShot A95,2004,2592,335,101,139
Canon EOS 10D,2003,3072,875,150,1299
Canon EOS-1D,2001,2464,1585,156,4499
Canon EOS-1D Mark II,2004,3504,1565,156,4499
Canon EOS-1D Mark III,2007,3888,1335,156,4499
Canon EOS-1D Mark II N,2005,3504,1565,156,4499
Canon EOS-1Ds,2002,4064,1585,156,7999
Canon EOS-1Ds Mark II,2004,4992,1565,156,7999
Canon EOS-1Ds Mark III,2007,5616,1385,150,7999
Canon EOS 20D,2004,3504,770,144,1299
Canon EOS 20Da,2005,3504,770,144,1299
Canon EOS 300D / Digital Rebel,2003,3072,645,142,1299
Canon EOS 30D,2006,3504,784,144,1299
Canon EOS 350D / Digital Rebel XT,2005,3456,540,127,1299
Canon EOS 400D / Digital Rebel XTi,2006,3888,556,127,1299
Canon EOS 40D,2007,3888,822,146,1299
Canon EOS 5D,2005,4368,895,152,2499
Canon EOS D30,2000,2160,855,150,549
Canon EOS D60,2002,3072,855,150,549
Canon PowerShot G1,2000,2048,490,120,499
Canon PowerShot G2,2001,2272,510,121,499
Canon PowerShot G3,2002,2272,490,121,499
Canon PowerShot G5,2003,2592,490,121,149
Canon PowerShot G6,2004,3072,467,105,499
Canon PowerShot G7,2006,3648,380,106,499
Canon PowerShot G9,2007,4000,370,106,499
Canon PowerShot Pro1,2004,3264,640,118,139
Canon PowerShot Pro70,1998,1536,800,148,199
Canon PowerShot Pro90 IS,2001,1856,680,127,384
Canon PowerShot S10,1999,1600,320,106,399
Canon PowerShot S100,2000,1600,250,87,199
Canon PowerShot S110,2001,1600,250,87,199
Canon PowerShot S1 IS,2004,2048,469,111,399
Canon PowerShot S20,2000,2048,320,106,399
Canon PowerShot S200,2002,1600,250,87,199
Canon PowerShot S230,2002,2048,250,87,199
Canon PowerShot S2 IS,2005,2592,505,113,399
Canon PowerShot S30,2001,2048,323,112,399
Canon PowerShot S300,2001,1600,270,95,199
Canon PowerShot S330,2002,1600,274,95,199
Canon PowerShot S3 IS,2006,2816,510,113,399
Canon PowerShot S40,2001,2272,323,112,139
Canon PowerShot S400,2003,2272,230,87,139
Canon PowerShot S410,2004,2272,215,87,139
Canon PowerShot S45,2002,2272,323,112,139
Canon PowerShot S50,2003,2592,323,112,399
Canon PowerShot S500,2004,2592,215,87,149
Canon PowerShot S5 IS,2007,3264,550,117,399
Canon PowerShot S60,2004,2592,300,114,399
Canon PowerShot S70,2004,3072,300,114,399
Canon PowerShot S80,2005,3264,290,104,399
Canon PowerShot SD10,2003,2272,140,90,199
Canon PowerShot SD100,2003,2048,185,85,199
Canon PowerShot SD1000,2007,3072,175,86,199
Canon PowerShot SD110,2004,2048,195,85,199
Canon PowerShot SD20,2004,2592,140,90,199
Canon PowerShot SD200,2004,2048,135,86,199
Canon PowerShot SD30,2005,2592,120,96,199
Canon PowerShot SD300,2004,2272,147,86,199
Canon PowerShot SD40,2006,3072,120,96,199
Canon PowerShot SD400,2005,2592,150,86,199
Canon PowerShot SD430 Wireless,2005,2592,185,99,199
Canon PowerShot SD450,2005,2592,155,86,199
Canon PowerShot SD500,2005,3072,200,90,199
Canon PowerShot SD550,2005,3072,185,90,199
Canon PowerShot SD600,2006,2816,170,86,199
Canon PowerShot SD630,2006,2816,175,90,199
Canon PowerShot SD700 IS,2006,2816,195,90,384
Canon PowerShot SD750,2007,3072,170,92,384
Canon PowerShot SD800 IS,2006,3072,195,90,384
Canon PowerShot SD850 IS,2007,3264,195,90,384
Canon PowerShot SD870 IS,2007,3264,165,93,384
Canon PowerShot SD900,2006,3648,205,91,199
Canon PowerShot SD950 IS,2007,4000,205,96,384
Canon PowerShot SX100 IS,2007,3264,316,109,299
Canon PowerShot TX1,2007,3072,260,89,139
Casio Exilim EX-P505,2005,2560,275,99,249
Casio Exilim EX-P600,2004,2816,275,98,249
Casio Exilim EX-P700,2004,3072,275,98,249
Casio Exilim EX-S100,2004,2048,123,88,249
Casio Exilim EX-S20,2003,1600,100,83,249
Casio Exilim EX-S3,2003,2048,110,90,249
Casio Exilim EX-S500,2005,2560,125,90,249
Casio Exilim EX-S600,2005,2816,155,90,249
Casio Exilim EX-S600d,2006,2816,155,90,249
Casio Exilim EX-S880,2007,3264,138,94.5,249
Casio Exilim EX-V7,2007,3072,190,96,299
Casio Exilim EX-V8,2007,3264,199,96,299
Casio Exilim EX-Z10,2005,2560,154,90,329
Casio Exilim EX-Z1000,2006,3648,185,92,329
Casio Exilim EX-Z1050,2007,3648,165,91,329
Casio Exilim EX-Z1080,2007,3648,165,91,329
Casio Exilim EX-Z110,2005,2816,151,90,329
Casio Exilim EX-Z120,2005,3072,154,90,329
Casio Exilim EX-Z1200 SR,2007,4000,162,93,329
Casio Exilim EX-Z3,2003,2048,170,87,329
Casio Exilim EX-Z30,2004,2048,150,87,329
Casio Exilim EX-Z4,2003,2304,170,87,329
Casio Exilim EX-Z40,2004,2304,150,87,329
Casio Exilim EX-Z5,2006,2560,160,95,329
Casio Exilim EX-Z50,2004,2560,171,87,329
Casio Exilim EX-Z500,2005,2560,127,89,329
Casio Exilim EX-Z55,2004,2560,180,87,329
Casio Exilim EX-Z57,2005,2560,175,89,199
Casio Exilim EX-Z60,2006,2816,148,95,329
Casio Exilim EX-Z70,2006,3072,140,95,199
Casio Exilim EX-Z700,2006,3072,154,89,329
Casio Exilim EX-Z75,2007,3072,156,95,199
Casio Exilim EX-Z750,2005,3072,165,89,329
Casio Exilim EX-Z77,2007,3072,128,95,199
Casio Exilim EX-S770,2006,3072,176,95,249
Casio Exilim EX-Z850,2006,3264,185,89,249
Casio GV-10,2001,1280,320,101,249
Casio GV-20,2002,1600,320,101,249
Casio QV-2000UX,1999,1600,320,130,249
Casio QV-2100,2001,1600,260,108,249
Casio QV-2300UX,2000,1600,245,67,249
Casio QV-2400UX,2001,1600,245,67,249
Casio QV-2800UX,2000,1600,295,81,249
Casio QV-2900UX,2001,1600,295,81,249
Casio QV-3EX,2000,2048,245,115,249
Casio QV-300,1996,640,290,162,249
Casio QV-3000EX,2000,2048,360,134,249
Casio QV-3500EX,2001,2048,360,134,249
Casio QV-4000,2001,2240,420,118,249
Casio QV-5000SX,1998,1280,320,147,249
Casio QV-5500SX,1999,1280,320,131,249
Casio QV-5700,2002,2560,420,118,249
Casio QV-700,1997,640,290,147,249
Casio QV-7000SX,1998,1280,320,141,249
Casio QV-770,1998,640,300,129,249
Casio QV-8000SX,1999,1280,320,141,249
Casio QV-R3,2002,2048,240,90,249
Casio QV-R4,2002,2304,240,90,249
Casio QV-R40,2003,2304,210,88,249
Casio QV-R41,2004,2304,198,88,249
Casio QV-R51,2004,2560,210,88,249
Casio QV-R61,2004,2816,218,88,249
Casio QV-R62,2004,2816,218,88,249
Contax N Digital,2000,3040,0,152,549
Contax TVS Digital,2002,2560,260,112,549
Epson PhotoPC 800,1999,1600,280,113,229
Epson PhotoPC 850 Zoom,1999,1600,0,0,229
Epson PhotoPC L-500V,2004,2560,200,92,159
Epson PhotoPC 3000 Zoom,2000,2048,360,107,399
Epson PhotoPC 3100 Zoom,2001,2048,360,107,399
Epson PhotoPC 500,1997,640,320,142,229
Epson PhotoPC 550,1997,640,170,107,229
Epson PhotoPC 600,1997,1024,270,143,229
Epson PhotoPC 650,1999,1152,400,135,229
Epson PhotoPC 700,1998,1280,0,0,229
Epson PhotoPC 750 Zoom,1998,1280,0,0,229
Epson PhotoPC L-300,2003,2048,285,105,399
Epson PhotoPC L-400,2003,2304,285,105,129
Epson PhotoPC L-410,2004,2304,203,92,129
Epson R-D1,2004,3008,620,142,4499
Fujifilm FinePix 40i,2000,2400,200,85.5,169
Fujifilm FinePix 50i,2001,2400,200,85.5,169
Fujifilm DS-260HD,1999,1280,700,100,169
Fujifilm DS-300,1997,1280,700,153,169
Fujifilm FinePix 1300,2000,1280,240,110,169
Fujifilm FinePix 2300,2001,1600,240,110,169
Fujifilm FinePix 2400 Zoom,2000,1600,290,125,169
Fujifilm FinePix 2600 Zoom,2001,1600,260,99,169
Fujifilm FinePix 2650,2002,1600,235,100,169
Fujifilm FinePix 2800 Zoom,2001,1600,360,95,169
Fujifilm Finepix 30i,2001,1600,200,85,199
Fujifilm FinePix 3800,2002,2048,400,100,399
Fujifilm FinePix 4800 Zoom,2001,2400,280,80,169
Fujifilm FinePix 4900 Zoom,2000,2400,450,110,169
Fujifilm FinePix 6800 Zoom,2001,2832,280,80,169
Fujifilm FinePix 6900 Zoom,2001,2832,450,110,169
Fujifilm FinePix A101,2001,1280,190,99,169
Fujifilm FinePix A120,2004,2016,170,102,169
Fujifilm FinePix A200,2002,1600,180,99,169
Fujifilm FinePix A201,2001,1600,190,99,169
Fujifilm FinePix A203,2002,1600,180,97,169
Fujifilm FinePix A205 Zoom,2003,1600,225,99,169
Fujifilm FinePix A210 Zoom,2003,2048,225,99,169
Fujifilm FinePix A303,2002,2048,180,97,169
Fujifilm FinePix A310 Zoom,2003,2816,190,97,169
Fujifilm FinePix A330,2004,2016,160,104,169
Fujifilm FinePix A340,2004,2272,160,104,169
Fujifilm FinePix A345 Zoom,2005,2304,192,90,169
Fujifilm FinePix A350 Zoom,2005,2592,192,90,169
Fujifilm FinePix A400 Zoom,2006,2303,170,93,169
Fujifilm FinePix A500 Zoom,2006,2592,170,93,169
Fujifilm FinePix A600 Zoom,2006,2848,195,93,169
Fujifilm FinePix A610,2007,2848,195,98,169
Fujifilm FinePix A800,2007,3296,200,98,169
Fujifilm FinePix A820,2007,3296,205,98,169
Fujifilm FinePix A900,2007,3488,205,98,169
Fujifilm FinePix A920,2007,3488,206,98,169
Fujifilm FinePix E500 Zoom,2004,2304,226,101,169
Fujifilm FinePix E510 Zoom,2004,2592,226,101,169
Fujifilm FinePix E550 Zoom,2004,4048,260,105,169
Fujifilm FinePix E900 Zoom,2005,3488,260,102,169
Fujifilm FinePix F10 Zoom,2005,2848,190,92,179
Fujifilm FinePix F11 Zoom,2005,2848,190,92,199
Fujifilm FinePix F20 Zoom,2006,2848,190,94,169
Fujifilm FinePix F30 Zoom,2006,2848,185,93,169
Fujifilm FinePix F31 fd,2006,2848,185,93,199
Fujifilm FinePix F401 Zoom,2002,2304,200,85,169
Fujifilm FinePix F402,2002,2304,145,77,199
Fujifilm FinePix F40 fd,2007,3296,181,96,199
Fujifilm FinePix F410 Zoom,2003,2816,205,85,169
Fujifilm FinePix F420 Zoom,2003,2816,180,77,169
Fujifilm FinePix F440 Zoom,2004,2304,180,75,169
Fujifilm FinePix F450 Zoom,2004,2592,180,75,199
Fujifilm FinePix F455 Zoom,2004,2592,180,93,199
Fujifilm FinePix F470 Zoom,2006,2816,150,92,169
Fujifilm FinePix F480 Zoom,2007,3264,170,96,169
Fujifilm FinePix F50 fd,2007,4000,205,93,199
Fujifilm FinePix F601Z,2002,2832,280,72,169
Fujifilm FinePix F610,2003,4048,205,72,169
Fujifilm FinePix F650 Zoom,2006,2816,200,105,169
Fujifilm FinePix F700,2003,2832,205,108,169
Fujifilm FinePix F710,2004,2832,225,110,169
Fujifilm FinePix F810 Zoom,2004,4048,250,110,169
Fujifilm FinePix IS-1,2007,3488,750,128,169
Fujifilm FinePix M603,2002,2832,280,65,169
Fujifilm FinePix S20 Pro,2004,2832,597,121,1699
Fujifilm FinePix S3000 Z,2003,2048,400,100,229
Fujifilm FinePix S3500 Zoom,2004,2272,385,100,229
Fujifilm FinePix S5000 Z,2003,2816,430,113,229
Fujifilm FinePix S5100 Zoom,2004,2272,387,113,229
Fujifilm FinePix S5200 Zoom,2005,2592,470,114,229
Fujifilm FinePix S5700 Zoom,2007,3072,406,106,229
Fujifilm FinePix S6000 fd,2006,2848,700,131,399
Fujifilm FinePix S602Z,2002,2832,590,121,399
Fujifilm FinePix S602Z Pro,2002,2832,590,121,1699
Fujifilm FinePix S7000 Z,2003,4048,590,121,229
Fujifilm FinePix S8000 fd,2007,3264,510,111,399
Fujifilm FinePix S9000 Z,2005,3488,745,128,229
Fujifilm FinePix S9100,2006,3488,750,128,229
Fujifilm FinePix V10 Zoom,2006,2592,185,83,179
Fujifilm FinePix Z1,2005,2592,170,90,179
Fujifilm FinePix Z10  fd,2007,3072,160,91,399
Fujifilm FinePix Z2,2005,2592,170,90,179
Fujifilm FinePix Z3,2006,2592,170,89,179
Fujifilm FinePix IS Pro,2007,4256,920,147,1699
Fujifilm MX-1200,1999,1280,240,110,169
Fujifilm MX-1400,2000,1280,390,74,169
Fujifilm MX-1500,1999,1280,250,104,169
Fujifilm MX-1700,1999,1280,270,79,169
Fujifilm MX-2700,1999,1800,260,80,169
Fujifilm MX-2900 Zoom,1999,1800,385,130,179
Fujifilm FinePix 4700 Zoom,2000,2400,280,78,169
Fujifilm MX-500,1998,1280,220,123,169
Fujifilm MX-600 Zoom,1999,1280,0,122,179
Fujifilm MX-700,1998,1280,260,80,169
Fujifilm FinePix S1 Pro,2000,3040,820,148,1699
Fujifilm FinePix S2 Pro,2002,4256,850,142,1699
Fujifilm FinePix S3 Pro,2004,4256,930,148,1699
Fujifilm FinePix S5 Pro,2006,4256,920,147,1699
HP Photosmart 320,2002,1632,240,113,179
HP Photosmart 435,2003,2048,190,117,179
HP Photosmart 620,2002,1632,280,120,179
HP Photosmart 635,2003,1636,240,240,179
HP Photosmart 715,2001,2048,320,127,179
HP Photosmart 720,2002,2048,340,118,179
HP Photosmart 735,2003,2080,290,105,179
HP Photosmart 812,2002,2272,245,95,179
HP Photosmart 850,2002,2272,489,114,179
HP Photosmart 935,2003,2608,260,97,179
HP Photosmart 945,2003,2608,500,123,179
HP Photosmart C20,1998,1152,300,127,179
HP Photosmart C200,1999,1152,300,126,179
HP Photosmart C215,2000,1280,290,124,179
HP Photosmart C30,1998,1152,300,126,179
HP Photosmart C315,2000,1600,280,128,179
HP Photosmart C500,1999,1600,410,153,179
HP Photosmart C618,2000,1600,630,144,179
HP Photosmart C912,2000,1600,150,99,179
HP Photosmart E317,2005,2560,231,95,179
HP Photosmart E327,2006,2560,170,96,179
HP Photosmart E337,2007,2576,170,96,179
HP Photosmart M22,2005,2320,172,109,179
HP Photosmart M23,2005,2320,172,109,179
HP Photosmart M307,2004,2080,177,107,179
HP Photosmart M407,2004,2320,190,95,179
HP Photosmart M417,2005,2576,181,96,179
HP Photosmart M425,2006,2576,172,109,179
HP Photosmart M437,2007,2576,190,95,179
HP Photosmart M517,2005,2576,190,97,179
HP Photosmart M525,2006,2800,192,96,179
HP Photosmart M527,2006,2800,227,99,179
HP Photosmart M537,2007,2848,157,90,179
HP Photosmart Mz67,2007,3264,157,90,179
HP Photosmart R507,2004,2320,205,96,179
HP Photosmart R607,2004,2320,205,96,179
HP Photosmart R707,2004,2608,150,93,179
HP Photosmart R717,2005,2864,150,93,179
HP Photosmart R725,2006,2864,136,94,179
HP Photosmart R727,2006,2864,190,91,179
HP Photosmart R742,2007,3096,190,91,179
HP Photosmart R817,2005,2592,205,100,179
HP Photosmart R818,2005,2592,200,96,179
HP Photosmart R837,2007,3112,227,105,179
HP Photosmart R927,2006,3296,206,95,179
HP Photosmart R937,2007,3298,215,100,179
JVC GC-QX3HD,2001,2032,320,111,14
JVC GC-QX5HD,2001,2032,320,111,14
Kodak C300,2005,2096,198,104,129
Kodak C310,2005,2336,154,103,129
Kodak C330,2005,2336,180,91,129
Kodak C340,2005,2576,198,92,129
Kodak C360,2005,2690,170,84,129
Kodak C433,2006,2304,180,91,126
Kodak C513,2007,2572,188,91,126
Kodak C533,2006,2576,200,91,126
Kodak C613,2007,2848,187,91,126
Kodak C643,2006,2848,195,92,126
Kodak C653,2007,2848,195,89,126
Kodak C663,2006,2832,190,85,126
Kodak C743,2006,3072,195,92,126
Kodak C763,2007,3072,180,90,126
Kodak C875,2006,3264,225,91,126
Kodak CX4200,2002,1632,250,109,129
Kodak CX4230,2002,1632,280,115,129
Kodak CX4300,2002,2080,250,109,126
Kodak CX6200,2003,1632,195,104,129
Kodak CX6230,2003,1632,225,104,129
Kodak CX6330,2003,2032,225,103,126
Kodak CX7220,2004,0,195,104,129
Kodak CX7300,2004,2096,162,104,126
Kodak CX7330,2004,2032,225,103,126
Kodak CX7430,2004,2408,198,103,126
Kodak CX7530,2004,2560,240,103,126
Kodak DC200,1998,1152,400,131,129
Kodak DC200 plus,1999,1152,400,131,129
Kodak DC210 plus,1998,1152,400,131,129
Kodak DC215,1999,1152,320,115,129
Kodak DC220,1998,1152,550,118,129
Kodak DC240,1999,1280,420,133,129
Kodak DC260,1998,1536,550,118,129
Kodak DC265,1999,1536,550,118,129
Kodak DC280,1999,1760,420,133,129
Kodak DC290,1999,1792,550,118,129
Kodak DC3200,2000,1152,240,113,129
Kodak DC3400,2000,1760,420,133,129
Kodak DC3800,2000,1760,200,95,129
Kodak DC4800,2000,2160,320,120,129
Kodak DC5000,2000,1760,459,140,126
Kodak DCS 14n,2002,4536,1000,131,129
Kodak DCS315,1998,1520,1800,137,126
Kodak DCS330,1999,2008,1080,137,126
Kodak DCS420,1994,1524,1700,170,129
Kodak DCS460,1995,3060,1700,170,129
Kodak DCS520,1998,1728,1650,161,129
Kodak DCS560,1998,3040,1650,161,129
Kodak DCS620,1999,1728,1580,194,129
Kodak DCS620x,2000,1728,1580,194,129
Kodak DCS660,1999,3040,1580,194,129
Kodak DCS720x,2001,1728,1580,194,129
Kodak DCS760,2001,3032,1860,194,129
Kodak DCS SLR/c,2004,4500,1000,137,129
Kodak DCS SLR/n,2004,4500,1000,131,129
Kodak DX3215,2001,1280,260,121,129
Kodak DX3500,2001,1800,225,120,129
Kodak DX3600,2001,1800,250,120,129
Kodak DX3700,2001,2160,250,150,129
Kodak DX3900,2001,2160,260,116,129
Kodak DX4330,2002,2160,260,111,126
Kodak DX4530,2003,2580,210,111,126
Kodak DX4900,2002,2448,260,116,129
Kodak DX6340,2003,2032,280,109,126
Kodak DX6440,2003,2304,270,109,129
Kodak DX6490,2003,2304,380,100,129
Kodak DX7440,2004,2304,270,100,129
Kodak DX7590,2004,2576,400,97,126
Kodak DX7630,2004,2872,270,100,126
Kodak Easyshare One,2005,2304,275,103,296
Kodak LS420,2002,1752,160,109,129
Kodak LS443,2002,2448,260,109,129
Kodak LS633,2003,2041,260,114,126
Kodak LS743,2004,2304,220,108,126
Kodak LS753,2004,2569,220,108,126
Kodak LS755,2004,2592,210,95,126
Kodak M753,2007,3056,165,93,126
Kodak M853,2007,3296,165,93,146
Kodak M873,2007,3264,160,92,146
Kodak M883,2007,3280,166,92,146
Kodak mc3,2001,640,198,105,129
Kodak P712,2006,3072,440,108,126
Kodak P850,2005,2592,450,108,146
Kodak P880,2005,3264,570,116,146
Kodak V1003,2007,3648,185,103,129
Kodak V530,2005,2569,150,92,126
Kodak V550,2005,2569,160,94,126
Kodak V570,2006,2569,175,101,129
Kodak V610,2006,2832,195,111,129
Kodak V705,2006,3072,165,101,126
Kodak V803,2007,3264,185,103,146
Kodak Z1275,2007,4000,211,90,129
Kodak Z612,2006,2848,330,104,129
Kodak Z650,2006,2848,320,98,126
Kodak Z700,2005,2304,270,97,126
Kodak Z710,2006,3072,360,98,126
Kodak Z712,2007,3072,350,104,126
Kodak Z730,2005,2576,270,100,126
Kodak Z740,2005,2576,330,98,126
Kodak Z7590,2005,2576,400,97,126
Kodak Z760,2005,2872,259,100,126
Kodak Z885,2007,3264,211,90,146
Kyocera Finecam 3300,2000,2048,240,38,169
Kyocera Finecam L30,2003,2048,220,111,169
Kyocera Finecam L3V,2003,2048,220,112,169
Kyocera Finecam L4V,2003,2304,220,112,199
Kyocera Finecam M400R,2004,2272,340,107,169
Kyocera Finecam M410R,2004,2272,340,107,179
Kyocera Finecam S3,2001,2048,160,30,1699
Kyocera Finecam S3L,2002,2048,205,92,1699
Kyocera Finecam S3R,2003,2048,205,92,1699
Kyocera Finecam S3x,2002,2048,175,32,1699
Kyocera Finecam S4,2002,2272,175,32,1699
Kyocera Finecam S5,2002,2560,205,92,1699
Kyocera Finecam S5R,2003,2560,205,92,1699
Kyocera Finecam SL300R,2003,2048,175,100,229
Kyocera Finecam SL400R,2004,2272,155,100,229
Leica C-LUX 1,2006,2816,155,94,509
Leica Digilux,1998,1280,260,80,149
Leica Digilux 1,2002,2240,455,127,249
Leica Digilux 2,2003,2560,705,135,249
Leica Digilux 3,2006,3136,606,146,269
Leica Digilux 4.3,2000,2400,280,78,149
Leica Digilux Zoom,2000,1280,270,79,249
Leica D-LUX 2,2005,3840,220,106,509
Leica D-LUX 3,2006,4224,220,106,509
Leica M8,2006,3936,591,139,146
Leica V-LUX 1,2006,3648,734,141,509
Nikon Coolpix 100,1997,512,200,60,229
Nikon Coolpix 2000,2002,1632,295,108,229
Nikon Coolpix 2100,2003,1600,215,88,99
Nikon Coolpix 2200,2004,1600,190,88,229
Nikon Coolpix 2500,2002,1600,250,114,229
Nikon Coolpix 300,1997,640,250,78,229
Nikon Coolpix 3100,2003,2048,215,88,99
Nikon Coolpix 3200,2004,2048,190,88,229
Nikon Coolpix 3500,2002,2048,250,114,229
Nikon Coolpix 3700,2003,2048,162,95.5,229
Nikon Coolpix 4100,2004,2288,190,88,99
Nikon Coolpix 4200,2004,2272,180,88,229
Nikon Coolpix 4300,2002,2272,286,95,229
Nikon Coolpix 4500,2002,2272,374,130,229
Nikon Coolpix 4600,2005,2288,180,85,229
Nikon Coolpix 4800,2004,2288,295,106,229
Nikon Coolpix 5000,2001,2560,414,102,229
Nikon Coolpix 5200,2004,2592,180,88,229
Nikon Coolpix 5400,2003,2592,400,108,229
Nikon Coolpix 5600,2005,2592,180,85,229
Nikon Coolpix 5700,2002,2560,512,108,229
Nikon Coolpix 5900,2005,2592,185,88,229
Nikon Coolpix 600,1998,1024,220,110,229
Nikon Coolpix 700,1999,1600,340,114,229
Nikon Coolpix 7600,2005,3072,195,85,229
Nikon Coolpix 775,2001,1600,230,87,159
Nikon Coolpix 7900,2005,3072,185,88,229
Nikon Coolpix 800,1999,1600,360,119,229
