Model,Release date,Max resolution,Weight (inc. batteries),Dimensions,Price
Nikon Coolpix 8400,2004,3264,470,113,229
Nikon Coolpix 8700,2004,3264,512,113,229
Nikon Coolpix 880,2000,2048,320,99.5,229
Nikon Coolpix 8800,2004,3264,680,116,229
Nikon Coolpix 885,2001,2048,286,95,159
Nikon Coolpix 900,1998,1280,420,157,229
Nikon Coolpix 900S,1998,1280,420,157,229
Nikon Coolpix 950,1999,1600,480,143,229
Nikon Coolpix 990,2000,2048,450,143,229
Nikon Coolpix 995,2001,2048,420,138,159
Nikon Coolpix L1,2005,2816,195,90,99
Nikon Coolpix L10,2007,2560,165,90,99
Nikon Coolpix L11,2007,2816,175,90,99
Nikon Coolpix L12,2007,3072,175,91,99
Nikon Coolpix L14,2007,3072,225,91,129
Nikon Coolpix L15,2007,3264,225,91,159
Nikon Coolpix L2,2006,2816,170,91,99
Nikon Coolpix L3,2006,2592,170,91,99
Nikon Coolpix L4,2006,2272,165,87,99
Nikon Coolpix L5,2006,3072,210,97,99
Nikon Coolpix L6,2006,2816,175,91,99
Nikon Coolpix P1,2005,3264,185,91,99
Nikon Coolpix P2,2005,2592,185,91,229
Nikon Coolpix P3,2006,3264,200,92,229
Nikon Coolpix P4,2006,3264,200,92,229
Nikon Coolpix P50,2007,3264,210,95,229
Nikon Coolpix P5000,2007,3648,240,98,399
Nikon Coolpix P5100,2007,4000,250,98,399
Nikon Coolpix S1,2005,2592,170,90,99
Nikon Coolpix S10,2006,2816,280,113,99
Nikon Coolpix S2,2005,2592,160,92,199
Nikon Coolpix S200,2007,3072,165,92,229
Nikon Coolpix S3,2005,2816,132,90,199
Nikon Coolpix S4,2005,2816,225,112,199
Nikon Coolpix S5,2006,2816,165,93,229
Nikon Coolpix S50,2007,3072,165,88,229
Nikon Coolpix S500,2007,3072,165,88,229
Nikon Coolpix S50c,2007,3072,165,88,329
Nikon Coolpix S51,2007,3264,175,93,279
Nikon Coolpix S510,2007,3264,125,88,399
Nikon Coolpix S51c,2007,3264,175,98,329
Nikon Coolpix S6,2006,2816,170,101,199
Nikon Coolpix S7c,2006,3072,170,101,199
Nikon Coolpix S9,2006,2816,165,91,199
Nikon Coolpix SQ,2003,2016,216,83,199
Nikon D1,1999,2000,1200,157,1599
Nikon D100,2002,3008,780,144,1599
Nikon D1H,2001,2000,1200,157,1599
Nikon D1X,2001,3008,1200,157,4699
Nikon D200,2005,3872,920,147,1599
Nikon D2H,2003,2464,1200,158,1599
Nikon D2Hs,2005,2464,1200,158,4699
Nikon D2X,2004,4288,1200,158,4699
Nikon D2Xs,2006,4288,1200,158,4699
Nikon D3,2007,4256,1300,160,4999
Nikon D300,2007,4288,925,147,1799
Nikon D40,2006,3008,522,124,549
Nikon D40X,2007,3872,522,124,549
Nikon D50,2005,3008,620,133,1599
Nikon D70,2004,3008,679,140,1599
Nikon D70s,2005,3008,679,140,1599
Nikon D80,2006,3872,668,132,1199
Olympus C-1,2001,1280,190,110,1699
Olympus D-370,2001,1280,190,123,1699
Olympus D-380,2002,1600,250,123,1699
Olympus D-150Z,2001,1280,190,110,1699
Olympus C-2,2001,1600,220,110,1699
Olympus C-2000 Zoom,1999,1600,380,108,129
Olympus D-510 Zoom,2001,1600,250,118,129
Olympus C-2020 Zoom,1999,1600,380,108,129
Olympus C-2040 Zoom,2000,1600,380,108,129
Olympus C-21,1999,1600,190,107,1699
Olympus C-2100 UZ,2000,1600,540,113,129
Olympus C-2500 L,1999,1712,530,109,129
Olympus C-3000 Zoom,2000,2048,380,109,1699
Olympus C-300 Zoom,2002,1984,300,118,1699
Olympus C-3020 Zoom,2001,2048,380,109,1699
Olympus C-3030 Zoom,2000,2048,380,109,1699
Olympus C-3040 Zoom,2000,2048,420,109,1699
Olympus C-4000 Zoom,2002,2288,400,110,129
Olympus C-4040 Zoom,2001,2272,420,110,129
Olympus D-40 Zoom,2001,2272,270,87,1699
Olympus C-5000 Zoom,2003,2560,280,105,449
Olympus C-5050 Zoom,2002,2560,480,114,449
Olympus C-5060 Zoom,2003,2592,480,116,449
Olympus C-50 Zoom,2002,2560,230,100,449
Olympus C-5500 Sport Zoom,2005,2592,340,110,129
Olympus C-60 Zoom,2004,2816,230,99,449
Olympus C-7000 Zoom,2004,3072,280,102,129
Olympus C-700 UZ,2001,1600,340,108,449
Olympus C-7070 Wide Zoom,2005,3072,480,116,129
Olympus C-720 UZ,2002,1984,340,108,449
Olympus C-730 UZ,2002,2048,400,108,449
Olympus C-740 UZ,2003,2048,340,108,449
Olympus C-750 UZ,2003,2288,340,108,449
Olympus C-765 UZ,2004,2288,310,105,449
Olympus C-770 UZ,2004,2288,310,105,449
Olympus C-8080 Wide Zoom,2004,3264,724,124,179
Olympus D-200L,1996,640,320,145,129
Olympus D-300L,1996,1024,320,145,1699
Olympus D-340L,1998,1280,320,128,1699
Olympus D-340R,1999,1280,320,128,1699
Olympus D-360L,2000,1280,280,128,1699
Olympus D-390,2003,1600,230,108,1699
Olympus D-395,2004,2048,210,110,1699
Olympus D-400 Zoom,1998,1280,320,127,129
Olympus D-425,2005,2288,170,101,1699
Olympus D-435,2005,2592,140,101,1699
Olympus D-450 Zoom,1999,1280,320,127,129
Olympus D-460 Zoom,2000,1280,320,127,449
Olympus D-490 Zoom,2000,1600,320,127,129
Olympus D-500L,1997,1024,490,115,449
Olympus D-520 Zoom,2002,1600,220,112,449
Olympus D-535 Zoom,2004,2048,190,88,449
Olympus D-540 Zoom,2004,2048,200,100,449
Olympus D-545 Zoom,2005,2288,190,106,449
Olympus D-560 Zoom,2003,2048,220,108,449
Olympus D-580 Zoom,2004,2288,210,108,179
Olympus D-595 Zoom,2005,2560,190,105,449
Olympus D-600L,1997,1280,0,115,1699
Olympus D-620L,1998,1280,520,115,1699
Olympus D-630 Zoom,2005,2560,175,94,129
Olympus E-1,2003,2560,735,141,1699
Olympus E-10,2000,2240,1190,129,1699
Olympus E-100 RS,2000,1368,603,108,129
Olympus E-20,2001,2560,1190,129,1699
Olympus E-3,2007,3648,800,142,1699
Olympus E-300,2004,3264,624,147,1699
Olympus E-330,2006,3136,616,140,1699
Olympus E-400,2006,3648,435,130,1699
Olympus E-410,2007,3648,435,130,1699
Olympus E-500,2005,3264,479,130,1699
Olympus E-510,2007,3648,490,136,1699
Olympus FE-100,2005,2272,160,88,129
Olympus FE-110,2005,2560,160,88,129
Olympus FE-115,2006,2560,160,88,129
Olympus FE-120,2005,2816,160,106,129
Olympus FE-130,2006,2592,160,96,129
Olympus FE-140,2006,2816,160,96,129
Olympus FE-150,2006,2560,175,90,129
Olympus FE-170,2006,2816,175,90,129
Olympus FE-180,2006,2816,170,88,179
Olympus FE-190,2006,2816,150,91,129
Olympus FE-200,2006,2816,195,98,129
Olympus FE-210,2007,3072,175,90,129
Olympus FE-230,2007,3072,145,91,129
Olympus FE-240,2007,3072,145,91,129
Olympus FE-250,2007,3264,155,94,129
Olympus FE-270,2007,3072,122,90,129
Olympus FE-280,2007,3264,108,92,179
Olympus FE-290,2007,3072,142,98,129
Olympus FE-300,2007,4000,115,94,129
Olympus IR-300,2005,2560,160,99,129
Olympus Stylus 300 ,2003,2048,220,99,229
Olympus Stylus 400 ,2003,2272,220,99,229
Olympus SP-310,2005,3072,230,100,449
Olympus SP-320,2006,3072,230,100,449
Olympus SP-350,2005,3264,245,100,449
Olympus SP-500 UZ,2005,2816,385,106,449
Olympus SP-510 UZ,2006,3072,410,106,449
Olympus SP-550 UZ,2007,3072,460,116,449
Olympus SP-560 UZ,2007,3264,365,116,449
Olympus SP-700,2005,2816,180,98,449
Olympus Stylus 1000,2006,3648,195,97,229
Olympus Stylus 1200,2007,4000,125,98,249
Olympus Stylus 410 ,2004,2272,200,99,229
Olympus Stylus 500 ,2004,2560,200,99,229
Olympus Stylus 600 ,2005,2816,195,97,229
Olympus Stylus 700 ,2006,3072,140,95,229
Olympus Stylus 720 SW ,2006,3072,190,95,299
Olympus Stylus 725 SW,2006,3072,190,91,299
Olympus Stylus 730,2006,3072,190,96,229
Olympus Stylus 740,2006,3072,160,96,229
Olympus Stylus 750,2006,3072,170,96,229
Olympus Stylus 760,2007,3072,160,99,229
Olympus Stylus 770 SW,2007,3072,195,92,299
Olympus Stylus 780,2007,3072,195,100,299
Olympus Stylus 790 SW,2007,3072,155,92,299
Olympus Stylus 800 ,2005,3264,200,103,249
Olympus Stylus 810 ,2006,3264,185,97,249
Olympus Stylus 820,2007,3264,125,96,249
Olympus Stylus 830,2007,3248,125,100,249
Olympus Stylus Verve ,2004,2272,165,95,229
Olympus Stylus Verve  S,2005,2560,165,95,299
Panasonic Lumix DMC-F7,2001,1600,200,104,1499
Panasonic Lumix DMC-FX01,2006,2816,155,94,1499
Panasonic Lumix DMC-FX07,2006,3072,170,94,1499
Panasonic Lumix DMC-FX1,2003,2048,185,0,1499
Panasonic Lumix DMC-FX10,2007,2816,155,94,1499
Panasonic Lumix DMC-FX100,2007,4000,150,54,1499
Panasonic Lumix DMC-FX12,2007,3072,155,94,1499
Panasonic Lumix DMC-FX2,2004,2304,148,94,1499
Panasonic Lumix DMC-FX3,2006,2816,165,94,299
Panasonic Lumix DMC-FX30,2007,3072,162,95,299
Panasonic Lumix DMC-FX33,2007,3264,154,95,299
Panasonic Lumix DMC-FX5,2003,2304,185,0,1499
Panasonic Lumix DMC-FX50,2006,3072,190,98,1499
Panasonic Lumix DMC-FX55,2007,3264,165,95,1499
Panasonic Lumix DMC-FX7,2004,2560,153,94,1499
Panasonic Lumix DMC-FX8,2005,2560,155,94,1499
Panasonic Lumix DMC-FX9,2005,2816,155,94,1499
Panasonic Lumix DMC-FZ1,2002,1600,354,125,149
Panasonic Lumix DMC-FZ10,2003,2304,550,87,149
Panasonic Lumix DMC-FZ18,2007,3264,407,118,149
Panasonic Lumix DMC-FZ2,2003,1600,350,114,149
Panasonic Lumix DMC-FZ20,2004,2560,556,87,149
Panasonic Lumix DMC-FZ3,2004,2016,326,108,299
Panasonic Lumix DMC-FZ30,2005,3264,740,141,299
Panasonic Lumix DMC-FZ4,2005,2304,326,102,149
Panasonic Lumix DMC-FZ5,2005,2560,326,108,149
Panasonic Lumix DMC-FZ50,2006,3648,734,141,149
Panasonic Lumix DMC-FZ7,2006,2816,340,113,149
Panasonic Lumix DMC-FZ8,2007,3072,340,113,149
Panasonic Lumix DMC-L1,2006,3136,606,146,1499
Panasonic Lumix DMC-L10,2007,3648,556,135,1499
Panasonic Lumix DMC-LC1,2004,2560,705,135,1499
Panasonic Lumix DMC-LC20,2002,1600,290,99,1499
Panasonic Lumix DMC-LC33,2003,2048,215,96,1499
Panasonic Lumix DMC-LC40,2002,2240,420,104,1499
Panasonic Lumix DMC-LC43,2003,2304,215,96,1499
Panasonic Lumix DMC-LC5,2001,2240,435,128,1499
Panasonic Lumix DMC-LC50,2004,2048,210,65,1499
Panasonic Lumix DMC-LC70,2004,2304,210,65,1499
Panasonic Lumix DMC-LC80,2004,2560,207,88,1499
Panasonic Lumix DMC-LS1,2005,2304,188,94,1499
Panasonic Lumix DMC-LS2,2006,2560,188,111,1499
Panasonic Lumix DMC-LS60,2007,2816,188,94,149
Panasonic Lumix DMC-LS75,2007,3072,188,94,1499
Panasonic Lumix DMC-LX1,2005,3840,220,106,1499
Panasonic Lumix DMC-LX2,2006,4224,220,106,1499
Panasonic Lumix DMC-LZ1,2005,2304,224,101,149
Panasonic Lumix DMC-LZ2,2005,2560,224,101,149
Panasonic Lumix DMC-LZ3,2006,2560,230,100,149
Panasonic Lumix DMC-LZ5,2006,2816,230,100,149
Panasonic Lumix DMC-LZ6,2007,3072,230,99,149
Panasonic Lumix DMC-LZ7,2007,3072,234,99,149
Panasonic Lumix DMC-TZ1,2006,2560,250,112,299
Panasonic Lumix DMC-TZ2,2007,2816,260,105,299
Panasonic Lumix DMC-TZ3,2007,3072,280,105,299
Pentax EI-100,2001,1280,240,105,509
Pentax EI-200,2000,1600,390,128,509
Pentax EI-2000,2000,1600,630,144,509
Pentax *ist D,2003,3008,650,129,799
Pentax *ist DL,2005,3008,565,125,799
Pentax *ist DL2,2006,3008,565,125,799
Pentax *ist DS,2004,3008,605,125,799
Pentax *ist DS2,2005,3008,605,125,799
Pentax K100D,2006,3008,660,129,509
Pentax K100D Super,2007,3008,646,129,509
Pentax K10D,2006,3872,793,142,799
Pentax K110D,2006,3008,585,129,509
Pentax Optio 230,2002,1600,230,104,269
Pentax Optio 30,2004,2048,180,94,149
Pentax Optio 330,2001,2048,240,92,269
Pentax Optio 330GS,2002,2048,230,104,269
Pentax Optio 330RS,2002,2048,240,92,269
Pentax Optio 33L,2003,2048,225,105,269
Pentax Optio 33LF,2003,2048,225,109,269
Pentax Optio 33WR,2003,2048,208,82,269
Pentax Optio 430,2001,2240,240,92,269
Pentax Optio 430RS,2002,2240,240,92,269
Pentax Optio 43WR,2004,2288,200,82,269
Pentax Optio 450,2003,2288,250,100,149
Pentax Optio 50,2005,2560,180,91,149
Pentax Optio 550,2003,2592,250,100,149
Pentax Optio 555,2003,2592,250,100,149
Pentax Optio 60,2005,2848,200,91,149
Pentax Optio 750Z,2004,3056,255,100,149
Pentax Optio A10,2006,3264,145,89,249
Pentax Optio A20,2006,3648,145,89,149
Pentax Optio A30,2007,3648,145,89,269
Pentax Optio E10,2006,2816,180,87,149
Pentax Optio E20,2006,2816,180,90,149
Pentax Optio E30,2007,3072,190,95,149
Pentax Optio E40,2007,3264,175,94,149
Pentax Optio M10,2006,2816,170,89,249
Pentax Optio M20,2006,3072,180,94,149
Pentax Optio M30,2007,3072,120,97,269
Pentax Optio M40,2007,3264,136,97,149
Pentax Optio MX4,2004,2304,375,73,149
Pentax Optio S,2003,2048,115,83,149
Pentax Optio S10,2007,3648,116,86,249
Pentax Optio S30,2004,2048,175,89,269
Pentax Optio S4,2003,2304,115,83,149
Pentax Optio S40,2004,2304,175,89,149
Pentax Optio S45,2005,2304,155,89,149
Pentax Optio S4i,2004,2304,120,84,149
Pentax Optio S50,2004,2560,180,89,149
Pentax Optio S55,2005,2560,155,89,149
Pentax Optio S5i,2004,2560,120,84,149
Pentax Optio S5n,2005,2560,120,84,149
Pentax Optio S5z,2005,2560,120,83,149
Pentax Optio S6,2005,2816,120,86,149
Pentax Optio S60,2005,2816,135,89,149
Pentax Optio S7,2006,3072,120,86,149
Pentax Optio SV,2004,2560,165,91,149
Pentax Optio SVi,2005,2560,165,91,149
Pentax Optio T10,2006,2816,155,95,249
Pentax Optio T20,2006,3072,155,95,149
Pentax Optio T30,2007,3072,155,95,269
Pentax Optio W10,2006,2816,160,107,269
Pentax Optio W20,2006,3072,150,107,269
Pentax Optio W30,2007,3072,155,108,269
Pentax Optio WP,2005,2560,135,102,269
Pentax Optio WPi,2005,2816,135,102,269
Pentax Optio X,2004,2560,145,112,149
Pentax Optio Z10,2007,3264,0,94,249
Ricoh Caplio 500G,2006,3264,450,133,229
Ricoh Caplio R1V,2005,2560,195,100,99
Ricoh Caplio R2,2005,2560,195,100,99
Ricoh Caplio R3,2005,2560,165,95,99
Ricoh Caplio R30,2006,2560,180,95,99
Ricoh Caplio R4,2006,2816,165,95,99
Ricoh Caplio R40,2006,2816,165,95,199
Ricoh Caplio R5,2006,3072,165,96,99
Ricoh Caplio R6,2007,3072,165,100,99
Ricoh Caplio R7,2007,3264,135,100,99
Ricoh Caplio RR530,2005,2560,190,91,399
Ricoh Caplio RR630,2006,2816,200,91,399
Ricoh Caplio G3,2003,2048,230,124,99
Ricoh GR Digital,2005,3264,200,107,4999
Ricoh Caplio GX100,2007,3648,260,112,399
Ricoh Caplio GX8,2005,3264,260,114,99
Ricoh RDC-200G,2000,1792,500,144,399
Ricoh RDC-4300,1998,1280,320,135,149
Ricoh RDC-5000,1999,1792,340,131,149
Ricoh RDC-5300,1999,1792,380,131,177
Ricoh RDC-6000,2000,1600,300,110,149
Ricoh RDC-7,2000,2048,320,135,1699
Ricoh RDC-i500,2001,2048,320,142,4999
Ricoh RDC-i700,2000,2048,450,157,149
Ricoh Caplio RR1,2001,2272,340,135,99
Ricoh Caplio RX,2004,2048,215,112,99
Samsung Digimax A50,2005,2592,185,107,229
Samsung Digimax A502,2005,2592,175,97,229
Samsung Digimax A55W,2005,2592,185,106,229
Samsung Digimax 130,2002,1280,250,106,299
Samsung Digimax 202,2004,1600,135,98,229
Samsung Digimax 230,2002,1600,0,0,229
Samsung Digimax 250,2004,1600,210,107,229
Samsung Digimax 301,2004,2048,137,98,299
Samsung Digimax 350SE,2002,2048,320,114,229
Samsung Digimax 370,2004,2048,157,108,229
Samsung Digimax 401,2004,2048,137,98,299
Samsung Digimax 410,2002,2272,340,116,229
Samsung Digimax 430,2004,2272,210,107,229
Samsung Digimax 530,2004,2592,195,110,229
Samsung Digimax V4,2003,2272,210,106,229
Samsung GX-10,2006,3872,793,142,199
Samsung GX-1L,2006,3008,570,125,299
Samsung GX-1S,2006,3008,605,125,299
Samsung Digimax i5,2005,2595,155,90,229
Samsung Digimax i6,2006,2816,0,96,229
Samsung i7,2007,3072,210,101,119
Samsung i70,2007,3072,180,90,199
Samsung i85,2007,3264,0,95,149
Samsung L83T,2007,3264,160,93,229
Samsung L700,2007,3072,170,97,199
Samsung L73,2007,3072,180,98,119
Samsung L730,2007,3264,183,95,99
Samsung L74 Wide,2007,3072,210,105,119
Samsung L77,2007,3072,0,94,119
Samsung L830,2007,3264,183,95,99
Samsung NV10,2006,3648,190,97,229
Samsung NV11,2007,3648,240,107,229
Samsung NV15,2007,3648,0,97,229
Samsung NV20,2007,4000,0,97,229
Samsung NV3,2006,3072,155,95,229
Samsung NV7 OPS,2006,3072,290,106,229
Samsung NV8,2007,3264,0,97,229
Samsung Pro815,2005,3264,910,136,299
Samsung S1030,2007,3648,220,100,199
Samsung S1050,2007,3648,254,105,199
Samsung S630,2007,2816,186,100,99
Samsung S730,2007,3072,186,100,99
Samsung S830,2007,3264,220,100,99
Samsung S85,2007,3264,204,100,149
Samsung S850,2007,3264,222,104,149
Samsung Digimax U-CA 3,2003,2048,134,102,229
Samsung Digimax U-CA 4,2004,2272,169,102,229
Samsung Digimax U-CA 401,2004,2272,165,97,229
Samsung Digimax V40,2004,2272,230,106,229
Samsung Digimax V5,2004,2592,180,106,229
Samsung Digimax V50,2004,2592,230,106,229
Samsung Digimax V6,2004,2816,220,106,229
Samsung Digimax V700,2005,3072,220,106,229
Samsung Digimax V800,2005,3264,220,106,229
Sanyo DSC-AZ1,2001,2288,340,106,429
Sanyo DSC-J1,2003,2048,205,98,429
Sanyo DSC-S1,2003,2048,190,100,149
Sanyo Xacti DSC-S3,2004,2048,185,91,1399
Sanyo Xacti DSC-S4,2004,2288,185,91,1399
Sanyo DSC-MZ1,2001,1600,340,106,429
Sanyo VPC-X350,1999,1024,260,105,149
Sanyo VPC-Z400,1999,1280,350,128,149
Sigma DP1,2006,2640,270,109,1599
Sigma SD10,2003,2268,950,152,1599
Sigma SD14,2006,2640,750,144,19
Sigma SD9,2002,2268,950,152,19
Sony Mavica FD-91,1998,1024,950,140,1399
Sony Mavica CD1000,2000,1600,980,125,1399
Sony Mavica CD200,2001,1600,620,144,1399
Sony Mavica CD250,2002,1600,610,138,1399
Sony Mavica CD300,2001,2048,620,144,1399
Sony Mavica CD350,2003,2048,522,132,1399
Sony Mavica CD400,2002,2272,640,138,1399
Sony Mavica CD500,2003,2592,606,139,1399
Sony DSC-D700,1998,1344,900,130,149
Sony DSC-D770,1999,1344,900,130,149
Sony DSC-F505,1999,1600,475,107,149
Sony DSC-F505V,2000,1856,482,107,149
Sony DSC-F55,1999,1600,300,103,429
Sony DSC-F55V,2000,1856,280,103,429
Sony DSC-F707,2001,2560,667,162,149
Sony DSC-F717,2002,2560,659,162,149
Sony DSC-F828,2003,3264,906,134,429
Sony DSC-F88,2004,2592,202,98,429
Sony DSC-G1,2007,2816,238,93,429
Sony DSC-H1,2005,2592,591,108,429
Sony DSC-H2,2006,2816,490,108,429
Sony DSC-H3,2007,3264,264,106,429
Sony DSC-H5,2006,3072,490,108,429
Sony DSC-H7,2007,3264,405,110,429
Sony DSC-H9,2007,3264,440,110,429
Sony DSC-L1,2004,2304,152,95,429
Sony DSC-M1,2004,2592,215,51,429
Sony DSC-M2,2005,2592,240,51,399
Sony DSC-N1,2005,3264,139,94,429
Sony DSC-N2,2006,3264,139,94,399
Sony DSC-P1,2000,2048,250,114,429
Sony DSC-P10,2003,2592,206,105,149
Sony DSC-P100,2004,2592,180,108,149
Sony DSC-P150,2004,3072,180,108,149
Sony DSC-P2,2002,1600,214,114,399
Sony DSC-P20,2001,1216,230,123,399
Sony DSC-P200,2005,3072,180,104,399
Sony DSC-P3,2001,1920,194,113,429
Sony DSC-P30,2001,1280,250,143,149
Sony DSC-P31,2002,1600,231,106,429
Sony DSC-P32,2003,2048,217,101,429
Sony DSC-P41,2004,2272,180,106,429
Sony DSC-P5,2001,2048,214,113,429
Sony DSC-P50,2001,1600,250,143,149
Sony DSC-P51,2002,1600,275,127,429
Sony DSC-P52,2003,2048,280,123,429
Sony DSC-P7,2002,2048,214,114,149
Sony DSC-P71,2002,2048,284,125,149
Sony DSC-P72,2003,2048,259,120,149
Sony DSC-P73,2004,2272,243,116,149
Sony DSC-P8,2003,2048,206,105,429
Sony DSC-P9,2002,2272,206,113,429
Sony DSC-P92,2003,2592,259,120,429
Sony DSC-P93,2004,2592,236,117,429
Sony DSC-R1,2005,3888,995,139,429
Sony DSC-S30,2000,1280,370,113,149
Sony DSC-S40,2005,2304,184,99,149
Sony DSC-S50,2000,1600,370,113,149
Sony DSC-S60,2005,2304,249,97,149
Sony DSC-S600,2006,2816,180,100,149
Sony DSC-S650,2007,3072,178,91,149
Sony DSC-S70,2000,2048,420,117,149
Sony DSC-S700,2007,3072,178,91,149
Sony DSC-S75,2001,2048,444,125,149
Sony DSC-S800,2007,3264,245,93,149
Sony DSC-S85,2001,2272,444,125,149
Sony DSC-S90,2005,2304,253,97,149
Sony DSC-T1,2003,2592,180,91,399
Sony DSC-T10,2006,3072,168,90,399
Sony DSC-T100,2007,3264,197,92,399
Sony DSC-T11,2004,2592,186,103,399
Sony DSC-T20,2007,3264,197,90,399
Sony DSC-T200,2007,3264,160,94,399
Sony DSC-T3,2004,2592,186,90,399
Sony DSC-T30,2006,3072,172,95,399
Sony DSC-T33,2005,2592,150,99,399
Sony DSC-T5,2005,2592,139,94,399
Sony DSC-T50,2006,3072,170,95,399
Sony DSC-T7,2005,2592,134,92,149
Sony DSC-T9,2005,2816,185,90,429
Sony DSC-U10,2002,1280,118,85,149
Sony DSC-U20,2002,1632,118,85,399
Sony DSC-U30,2003,1632,130,85,149
Sony DSC-U40,2003,1632,130,83,149
Sony DSC-U50,2003,1632,132,100,149
Sony DSC-U60,2003,1632,200,60,149
Sony DSC-V1,2003,2592,298,99,429
Sony DSC-V3,2004,3072,390,120,429
Sony DSC-W1,2004,2592,250,91,429
Sony DSC-W100,2006,3264,192,94,149
Sony DSC-W200,2007,4000,195,91,399
Sony DSC-W30,2006,2816,153,90,149
Sony DSC-W35,2007,3072,149,90,429
Sony DSC-W5,2005,2592,250,91,429
Sony DSC-W50,2006,2816,157,89,149
Sony DSC-W55,2007,3072,147,90,429
Sony DSC-W7,2005,3072,250,91,149
Sony DSC-W70,2006,3072,157,89,149
Sony DSC-W80,2007,3072,175,91,149
Sony DSC-W90,2007,3254,175,91,429
Sony DSLR-A100,2006,3872,638,133,599
Sony DSLR-A700,2007,4272,768,142,599
Sony Mavica FD-100,2002,1280,0,0,1399
Sony Mavica FD-200,2002,1600,520,142,1399
Sony Mavica FD-71,1998,640,500,138,1399
Sony Mavica FD-73,1999,640,500,138,1399
Sony Mavica FD-75,2001,640,580,138,1399
Sony Mavica FD-81,1998,1024,580,140,1399
Sony Mavica FD-83,1999,1024,580,142,1399
Sony Mavica FD-85,2000,1280,0,0,1399
Sony Mavica FD-87,2001,1280,630,143,1399
Sony Mavica FD-88,1999,1280,600,142,1399
Sony Mavica FD-90,2000,1280,0,0,1399
Sony Mavica FD-92,2001,1472,660,126,1399
Sony Mavica FD-95,2000,1600,900,0,1399
Sony Mavica FD-97,2001,1600,990,126,1399
Toshiba PDR-3310,2002,2048,205,91,177
Toshiba PDR-3330,2002,2048,320,116,177
Toshiba PDR-4300,2003,2400,0,0,599
Toshiba PDR-5300,2003,2560,230,93,177
Toshiba PDR-M1,1998,1280,290,123,62
Toshiba PDR-M11,2001,1280,240,116,62
Toshiba PDR-M21,2001,1600,240,116,177
Toshiba PDR-M25,2001,1729,320,105,177
Toshiba PDR-M3,1999,1280,380,122,62
Toshiba PDR-M4,1999,1600,290,112,62
Toshiba PDR-M5,1999,1600,350,130,62
Toshiba PDR-M60,2000,1792,320,121,449
Toshiba PDR-M61,2001,1792,310,123,62
Toshiba PDR-M65,2001,2048,320,120,62
Toshiba PDR-M70,2000,2048,390,116,62
Toshiba PDR-M71,2001,2048,340,107,62
Toshiba PDR-M81,2001,2400,340,107,62
Toshiba PDR-T10,2002,1600,180,86,129
